tobyhuang debug: num_processes=6
         69707 function calls (68434 primitive calls) in 0.054 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      312    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:2044(consume_optional)
      191    0.000    0.000    0.000    0.000 _parser.py:292(tell)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:671(_check_name_wrapper)
        2    0.000    0.000    0.000    0.000 signal.py:24(_int_to_enum)
      501    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        6    0.000    0.000    0.000    0.000 weakref.py:164(__setitem__)
      174    0.000    0.000    0.000    0.000 _parser.py:175(append)
       52    0.000    0.000    0.000    0.000 typing.py:1383(__setattr__)
        1    0.000    0.000    0.000    0.000 pool.py:161(__delitem__)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
       18    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
       75    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 _colorize.py:1(<module>)
       33    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      113    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
       12    0.000    0.000    0.000    0.000 resource_tracker.py:345(_write)
        1    0.000    0.000    0.000    0.000 context.py:115(Pool)
       73    0.000    0.000    0.000    0.000 feedparser.py:129(__next__)
       23    0.000    0.000    0.000    0.000 {built-in method posix.write}
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x1070d02c0}
        2    0.000    0.000    0.000    0.000 _local.py:289(drive)
      466    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:2313(_match_argument)
        1    0.000    0.000    0.000    0.000 abc.py:62(Traversable)
       35    0.000    0.000    0.000    0.000 _parser.py:311(_class_escape)
        5    0.000    0.000    0.000    0.000 threading.py:592(__init__)
        6    0.000    0.000    0.000    0.000 locale.py:381(normalize)
       94    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       44    0.000    0.000    0.000    0.000 _compiler.py:401(_simple)
       13    0.000    0.000    0.000    0.000 <frozen posixpath>:72(join)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1641(_make_netmask)
        7    0.000    0.000    0.000    0.000 subprocess.py:296(_optim_args_from_interpreter_flags)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       58    0.000    0.000    0.000    0.000 _collections.py:20(__missing__)
       28    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       38    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
       73    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        8    0.000    0.000    0.000    0.000 typing.py:1322(__init__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        6    0.000    0.000    0.000    0.000 random.py:458(choices)
       11    0.000    0.000    0.000    0.000 connection.py:386(_send)
      126    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
        5    0.000    0.000    0.000    0.000 threading.py:428(notify_all)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
      416    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        2    0.000    0.000    0.000    0.000 argparse.py:1519(add_argument_group)
      109    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        5    0.000    0.000    0.000    0.000 shutil.py:1425(get_terminal_size)
       10    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
        1    0.000    0.000    0.000    0.000 pool.py:183(__init__)
        6    0.000    0.000    0.000    0.000 tempfile.py:143(rng)
       42    0.000    0.000    0.000    0.000 _parser.py:371(_escape)
        1    0.000    0.000    0.000    0.000 pool.py:369(starmap)
      223    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       69    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       28    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 pool.py:767(get)
      177    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      308    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        6    0.000    0.000    0.000    0.000 __init__.py:759(mtime)
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        7    0.000    0.000    0.000    0.000 pool.py:385(_guarded_task_generation)
      304    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        3    0.000    0.000    0.000    0.000 typing.py:1678(copy_with)
       23    0.000    0.000    0.000    0.000 <frozen os>:712(__getitem__)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       33    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:334(__new__)
      132    0.000    0.000    0.000    0.000 _parser.py:82(groups)
        2    0.000    0.000    0.000    0.000 argparse.py:1701(__init__)
      135    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
      157    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
    30/29    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
       25    0.000    0.000    0.000    0.000 _compiler.py:470(_get_charset_prefix)
        3    0.000    0.000    0.000    0.000 typing.py:2093(__init__)
        1    0.000    0.000    0.000    0.000 pool.py:471(_map_async)
        6    0.000    0.000    0.000    0.000 selectors.py:336(__init__)
      113    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
       72    0.000    0.000    0.000    0.000 context.py:372(get_spawning_popen)
       73    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
        6    0.000    0.000    0.000    0.000 typing.py:1659(<genexpr>)
      261    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 pool.py:764(wait)
        6    0.000    0.000    0.000    0.000 process.py:153(is_alive)
       47    0.000    0.000    0.000    0.000 ipaddress.py:1774(_parse_hextet)
       12    0.000    0.000    0.000    0.000 queues.py:375(__getstate__)
        5    0.000    0.000    0.000    0.000 threading.py:281(__init__)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       13    0.000    0.000    0.000    0.000 <frozen _collections_abc>:808(get)
        5    0.000    0.000    0.000    0.000 threading.py:398(notify)
      124    0.000    0.000    0.000    0.000 _virtualenv.py:51(find_spec)
        1    0.000    0.000    0.000    0.000 queues.py:383(get)
      196    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        3    0.000    0.000    0.000    0.000 locale.py:347(_replace_encoding)
      214    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      181    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1353(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:749(zip_children)
        5    0.000    0.000    0.000    0.000 contextlib.py:276(contextmanager)
       50    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 typing.py:2423(get_type_hints)
       18    0.000    0.000    0.000    0.000 typing.py:3818(__getattr__)
        3    0.000    0.000    0.000    0.000 typing.py:1947(_get_protocol_attrs)
       15    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
       13    0.000    0.000    0.000    0.000 selectors.py:219(_fileobj_lookup)
       20    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
    30/29    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        3    0.000    0.000    0.000    0.000 typing.py:2219(__init_subclass__)
       12    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
      179    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:309(__init__)
        1    0.000    0.000    0.000    0.000 _adapters.py:46(__init__)
       36    0.000    0.000    0.000    0.000 context.py:378(assert_spawning)
       19    0.000    0.000    0.000    0.000 _regex_core.py:1699(numeric_to_rational)
       35    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       12    0.000    0.000    0.000    0.000 typing.py:789(<genexpr>)
       52    0.000    0.000    0.000    0.000 typing.py:1309(_is_dunder)
       99    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 _adapters.py:63(_repair_headers)
        6    0.000    0.000    0.000    0.000 __init__.py:804(search)
        1    0.000    0.000    0.000    0.000 __init__.py:146(make)
        1    0.000    0.000    0.000    0.000 enum.py:485(__prepare__)
        6    0.000    0.000    0.000    0.000 message.py:506(get)
       13    0.000    0.000    0.000    0.000 typing.py:164(_type_convert)
        1    0.000    0.000    0.000    0.000 abc.py:16(ResourceReader)
        2    0.000    0.000    0.000    0.000 argparse.py:2024(take_action)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        7    0.000    0.000    0.000    0.000 pool.py:633(_get_tasks)
      145    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      145    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 __init__.py:88(__init__)
       66    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
       42    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       92    0.000    0.000    0.000    0.000 enum.py:115(_iter_bits_lsb)
        6    0.000    0.000    0.000    0.000 selectors.py:206(__exit__)
        4    0.000    0.000    0.000    0.000 message.py:608(get_content_type)
        1    0.000    0.000    0.000    0.000 __init__.py:411(discover)
       71    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _text.py:1(<module>)
        5    0.000    0.000    0.000    0.000 argparse.py:1904(_add_action)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:1(<module>)
       49    0.000    0.000    0.000    0.000 _local.py:505(__new__)
       12    0.000    0.000    0.000    0.000 process.py:94(<genexpr>)
        1    0.000    0.000    0.000    0.000 feedparser.py:184(close)
        7    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      129    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 feedparser.py:102(push)
       13    0.000    0.000    0.000    0.000 selectors.py:21(_fileobj_to_fd)
       31    0.000    0.000    0.000    0.000 connection.py:174(fileno)
        2    0.000    0.000    0.000    0.000 functools.py:826(singledispatch)
      139    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
       26    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
        6    0.000    0.000    0.000    0.000 connection.py:123(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:44(normalize_encoding)
        2    0.000    0.000    0.000    0.000 _local.py:257(_parse_path)
       12    0.000    0.000    0.000    0.000 functools.py:504(lru_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:1350(__init__)
        5    0.000    0.000    0.000    0.000 argparse.py:1723(_add_action)
        2    0.000    0.000    0.000    0.000 _local.py:277(_raw_path)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       12    0.000    0.000    0.000    0.000 process.py:189(name)
       83    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
       12    0.000    0.000    0.000    0.000 threading.py:1430(current_thread)
        1    0.000    0.000    0.000    0.000 abc.py:153(TraversableResources)
        3    0.000    0.000    0.000    0.000 message.py:632(get_content_maintype)
      152    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       23    0.000    0.000    0.000    0.000 <frozen os>:794(encode)
        1    0.000    0.000    0.000    0.000 connection.py:213(recv_bytes)
        6    0.000    0.000    0.000    0.000 synchronize.py:94(__enter__)
        1    0.000    0.000    0.000    0.000 popen_fork.py:1(<module>)
       33    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       37    0.000    0.000    0.000    0.000 argparse.py:1437(register)
       35    0.000    0.000    0.000    0.000 enum.py:766(__delattr__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:452(_parse_pattern)
       18    0.000    0.000    0.000    0.000 spawn.py:92(<genexpr>)
        1    0.000    0.000    0.000    0.000 subprocess.py:759(Popen)
        2    0.000    0.000    0.000    0.000 functools.py:189(total_ordering)
        1    0.000    0.000    0.000    0.000 pool.py:796(__init__)
        1    0.000    0.000    0.000    0.000 spawn.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        2    0.000    0.000    0.000    0.000 {built-in method from_iterable}
        1    0.000    0.000    0.000    0.000 typing.py:1023(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1280(IPv4Address)
       33    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
        1    0.000    0.000    0.000    0.000 __init__.py:716(FastPath)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1904(_split_scope_id)
        1    0.000    0.000    0.000    0.000 pretokenization_example.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pool.py:284(_get_worker_sentinels)
        4    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        6    0.000    0.000    0.000    0.000 selectors.py:213(__init__)
        1    0.000    0.000    0.000    0.000 process.py:396(__init__)
       13    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      228    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        3    0.000    0.000    0.000    0.000 {built-in method _pickle.loads}
        1    0.000    0.000    0.000    0.000 __init__.py:654(DistributionFinder)
        4    0.000    0.000    0.000    0.000 argparse.py:1614(_get_optional_kwargs)
       86    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
       19    0.000    0.000    0.000    0.000 _regex_core.py:3317(__init__)
       82    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _local.py:482(Path)
        2    0.000    0.000    0.000    0.000 argparse.py:2520(_get_values)
       24    0.000    0.000    0.000    0.000 popen_spawn_posix.py:34(duplicate_for_child)
       24    0.000    0.000    0.000    0.000 _regex_core.py:2012(__init__)
        1    0.000    0.000    0.000    0.000 _main.py:387(escape)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
        5    0.000    0.000    0.000    0.000 argparse.py:1529(_add_action)
        5    0.000    0.000    0.000    0.000 functools.py:867(_is_union_type)
        6    0.000    0.000    0.000    0.000 spawn.py:138(_check_not_importing_main)
        5    0.000    0.000    0.000    0.000 argparse.py:589(_format_args)
        7    0.000    0.000    0.000    0.000 <frozen posixpath>:166(basename)
       20    0.000    0.000    0.000    0.000 <frozen posixpath>:42(_get_sep)
        1    0.000    0.000    0.000    0.000 _local.py:140(joinpath)
        6    0.000    0.000    0.000    0.000 synchronize.py:97(__exit__)
        7    0.000    0.000    0.000    0.000 typing.py:260(_collect_type_parameters)
        1    0.000    0.000    0.000    0.000 pool.py:747(__init__)
      126    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        6    0.000    0.000    0.000    0.000 functools.py:871(_is_valid_dispatch_type)
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
       92    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        6    0.000    0.000    0.000    0.000 selectors.py:272(close)
        3    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 {method 'match' of '_regex.Pattern' objects}
        1    0.000    0.000    0.000    0.000 message.py:249(get_payload)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1933(IPv6Address)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        2    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        8    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        6    0.000    0.000    0.000    0.000 {method '__enter__' of '_multiprocessing.SemLock' objects}
        2    0.000    0.000    0.000    0.000 enum.py:948(_get_mixins_)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1601(<genexpr>)
       71    0.000    0.000    0.000    0.000 enum.py:91(_is_single_bit)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1181(__init__)
        1    0.000    0.000    0.000    0.000 pickle.py:404(_Pickler)
       46    0.000    0.000    0.000    0.000 _parser.py:171(__setitem__)
       10    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
       58    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 pickle.py:1174(_Unpickler)
        1    0.000    0.000    0.000    0.000 _meta.py:11(PackageMetadata)
        1    0.000    0.000    0.000    0.000 {built-in method regex._regex.compile}
        1    0.000    0.000    0.000    0.000 __init__.py:352(Distribution)
        1    0.000    0.000    0.000    0.000 _abc.py:130(with_segments)
       34    0.000    0.000    0.000    0.000 enum.py:69(_is_internal_class)
        9    0.000    0.000    0.000    0.000 threading.py:303(__enter__)
        1    0.000    0.000    0.000    0.000 typing.py:1643(__init__)
       39    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       47    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 pool.py:173(Pool)
       56    0.000    0.000    0.000    0.000 connection.py:140(_check_closed)
        2    0.000    0.000    0.000    0.000 threading.py:1137(is_alive)
        1    0.000    0.000    0.000    0.000 _regex_core.py:462(parse_sequence)
        1    0.000    0.000    0.000    0.000 _common.py:19(package_to_anchor)
        1    0.000    0.000    0.000    0.000 locale.py:642(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 argparse.py:155(HelpFormatter)
        2    0.000    0.000    0.000    0.000 charset.py:204(__init__)
       69    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
       15    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
        3    0.000    0.000    0.000    0.000 threading.py:1163(daemon)
        3    0.000    0.000    0.000    0.000 threading.py:1050(_delete)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:322(decode)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1206(get_filename)
        6    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        1    0.000    0.000    0.000    0.000 process.py:71(BaseProcess)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3502(Sequence)
       40    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        6    0.000    0.000    0.000    0.000 weakref.py:347(__new__)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
      105    0.000    0.000    0.000    0.000 enum.py:1219(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:686(SpooledTemporaryFile)
      108    0.000    0.000    0.000    0.000 _regex_core.py:1725(<genexpr>)
        6    0.000    0.000    0.000    0.000 {method '__exit__' of '_multiprocessing.SemLock' objects}
       35    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
        1    0.000    0.000    0.000    0.000 typing.py:2349(runtime_checkable)
        6    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:701(_use_posix_spawn)
       50    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       33    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1771(ArgumentParser)
        1    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
       47    0.000    0.000    0.000    0.000 {function FreezableDefaultDict.__missing__ at 0x107092020}
        9    0.000    0.000    0.000    0.000 threading.py:306(__exit__)
        2    0.000    0.000    0.000    0.000 argparse.py:2571(_get_value)
        9    0.000    0.000    0.000    0.000 threading.py:318(_is_owned)
        2    0.000    0.000    0.000    0.000 copyreg.py:107(_slotnames)
        5    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
        1    0.000    0.000    0.000    0.000 enum.py:1222(_add_alias_)
       26    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        6    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
        7    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
       12    0.000    0.000    0.000    0.000 process.py:247(sentinel)
       20    0.000    0.000    0.000    0.000 message.py:523(set_raw)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1014(create_module)
        4    0.000    0.000    0.000    0.000 typing.py:2720(overload)
        1    0.000    0.000    0.000    0.000 string.py:188(Formatter)
        1    0.000    0.000    0.000    0.000 functools.py:677(cache)
        1    0.000    0.000    0.000    0.000 _local.py:59(PurePath)
        6    0.000    0.000    0.000    0.000 process.py:193(name)
        1    0.000    0.000    0.000    0.000 iterators.py:1(<module>)
        6    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
       73    0.000    0.000    0.000    0.000 __init__.py:108(<lambda>)
        4    0.000    0.000    0.000    0.000 argparse.py:943(__init__)
        1    0.000    0.000    0.000    0.000 _abc.py:403(PathBase)
        6    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.000    0.000 _regex_core.py:4421(_check_group_features)
        5    0.000    0.000    0.000    0.000 argparse.py:1648(_pop_action_class)
        3    0.000    0.000    0.000    0.000 threading.py:844(_newname)
        3    0.000    0.000    0.000    0.000 typing.py:1271(_generic_init_subclass)
        1    0.000    0.000    0.000    0.000 context.py:30(BaseContext)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1621(_BaseV6)
       46    0.000    0.000    0.000    0.000 _regex_core.py:1942(__init__)
        1    0.000    0.000    0.000    0.000 selectors.py:568(_can_use)
        2    0.000    0.000    0.000    0.000 enum.py:989(_find_data_type_)
        4    0.000    0.000    0.000    0.000 threading.py:1268(_make_invoke_excepthook)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2134(Branch)
        1    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       31    0.000    0.000    0.000    0.000 util.py:49(debug)
        1    0.000    0.000    0.000    0.000 threading.py:859(Thread)
        5    0.000    0.000    0.000    0.000 argparse.py:831(__init__)
       46    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
       35    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       72    0.000    0.000    0.000    0.000 enum.py:923(<lambda>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1497(IPv4Network)
       12    0.000    0.000    0.000    0.000 enum.py:200(__get__)
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
       70    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
        1    0.000    0.000    0.000    0.000 argparse.py:1185(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 _adapters.py:53(__getitem__)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:972(clear)
        1    0.000    0.000    0.000    0.000 ipaddress.py:383(_IPAddressBase)
       24    0.000    0.000    0.000    0.000 popen_spawn_posix.py:17(__init__)
       48    0.000    0.000    0.000    0.000 {built-in method math.floor}
        1    0.000    0.000    0.000    0.000 functools.py:887(<lambda>)
       16    0.000    0.000    0.000    0.000 typing.py:1785(__eq__)
       73    0.000    0.000    0.000    0.000 enum.py:1458(<lambda>)
       12    0.000    0.000    0.000    0.000 argparse.py:1441(_registry_get)
        3    0.000    0.000    0.000    0.000 _parser.py:894(_parse_flags)
        3    0.000    0.000    0.000    0.000 locale.py:600(setlocale)
        5    0.000    0.000    0.000    0.000 typing.py:2552(get_origin)
       42    0.000    0.000    0.000    0.000 _compat_pickle.py:164(<genexpr>)
        4    0.000    0.000    0.000    0.000 typing.py:2527(_strip_annotations)
       36    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:691(__init__)
        3    0.000    0.000    0.000    0.000 threading.py:1021(_set_ident)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4359(__init__)
        1    0.000    0.000    0.000    0.000 _text.py:7(FoldedCase)
       39    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1137(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:215(socket)
       18    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1323(ZipFile)
        2    0.000    0.000    0.000    0.000 {built-in method _signal.pthread_sigmask}
        1    0.000    0.000    0.000    0.000 queue.py:40(Queue)
       48    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:166(<genexpr>)
        9    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 glob.py:358(_Globber)
        1    0.000    0.000    0.000    0.000 _regex_core.py:419(make_case_flags)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
       13    0.000    0.000    0.000    0.000 {method 'register' of 'select.poll' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:132(CalledProcessError)
       10    0.000    0.000    0.000    0.000 _text.py:90(lower)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 message.py:422(__getitem__)
        1    0.000    0.000    0.000    0.000 queues.py:33(Queue)
        1    0.000    0.000    0.000    0.000 _abc.py:101(PurePathBase)
        2    0.000    0.000    0.000    0.000 _local.py:237(_format_parsed_parts)
        6    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       25    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       26    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
       71    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
        2    0.000    0.000    0.000    0.000 {method 'put' of '_queue.SimpleQueue' objects}
        1    0.000    0.000    0.000    0.000 enum.py:1016(_find_new_)
        1    0.000    0.000    0.000    0.000 _regex_core.py:370(_compile_firstset)
        4    0.000    0.000    0.000    0.000 threading.py:1025(_set_native_id)
        2    0.000    0.000    0.000    0.000 _functools.py:6(method_cache)
       38    0.000    0.000    0.000    0.000 enum.py:801(<genexpr>)
        2    0.000    0.000    0.000    0.000 <frozen os>:1127(__subclasshook__)
        1    0.000    0.000    0.000    0.000 feedparser.py:71(close)
       13    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 pool.py:745(ApplyResult)
