tobyhuang debug: num_processes=6
         69707 function calls (68434 primitive calls) in 0.054 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.001    0.000 resource_tracker.py:293(_ensure_running_and_write)
       35    0.000    0.000    0.001    0.000 {built-in method builtins.next}
      6/4    0.000    0.000    0.001    0.000 connection.py:395(_recv)
      6/4    0.000    0.000    0.001    0.000 {built-in method posix.read}
        7    0.000    0.000    0.001    0.000 enum.py:900(_convert_)
        1    0.000    0.000    0.001    0.001 tempfile.py:1(<module>)
      124    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
        6    0.000    0.000    0.001    0.000 resource_tracker.py:337(register)
        6    0.000    0.000    0.001    0.000 resource_tracker.py:349(_send)
        9    0.001    0.000    0.001    0.000 {built-in method _io.open}
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _local.py:1(<module>)
       33    0.000    0.000    0.001    0.000 _compiler.py:576(_code)
        1    0.000    0.000    0.001    0.001 __init__.py:954(distribution)
        1    0.000    0.000    0.001    0.001 __init__.py:393(from_name)
        1    0.000    0.000    0.001    0.001 resource_tracker.py:240(_launch)
       29    0.001    0.000    0.001    0.000 {method 'dump' of '_pickle.Pickler' objects}
      6/5    0.000    0.000    0.001    0.000 connection.py:1160(wait)
        7    0.000    0.000    0.001    0.000 __init__.py:890(<genexpr>)
        1    0.000    0.000    0.001    0.001 _abc.py:1(<module>)
        6    0.000    0.000    0.001    0.000 __init__.py:756(search)
        1    0.000    0.000    0.001    0.001 process.py:1(<module>)
        1    0.000    0.000    0.001    0.001 parser.py:1(<module>)
       16    0.000    0.000    0.001    0.000 _functools.py:75(wrapper)
      145    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
     1209    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
      6/5    0.000    0.000    0.001    0.000 selectors.py:385(select)
        6    0.000    0.000    0.001    0.000 __init__.py:765(lookup)
        6    0.000    0.000    0.001    0.000 __init__.py:775(__init__)
      113    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
  388/354    0.000    0.000    0.001    0.000 {built-in method __new__ of type object at 0x101c1bea0}
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
      6/5    0.000    0.000    0.001    0.000 {method 'poll' of 'select.poll' objects}
       18    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
      5/4    0.000    0.000    0.001    0.000 connection.py:258(poll)
      5/4    0.000    0.000    0.001    0.000 connection.py:444(_poll)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
   137/33    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        1    0.000    0.000    0.000    0.000 bz2.py:1(<module>)
       25    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        7    0.000    0.000    0.000    0.000 enum.py:1755(convert_class)
        1    0.000    0.000    0.000    0.000 pretokenization_example.py:7(find_chunk_boundaries)
        1    0.000    0.000    0.000    0.000 pool.py:671(_help_stuff_finish)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:1(<module>)
        2    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1672(_fill_cache)
        6    0.000    0.000    0.000    0.000 pool.py:179(Process)
        1    0.000    0.000    0.000    0.000 feedparser.py:1(<module>)
     5591    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        8    0.000    0.000    0.000    0.000 enum.py:499(__new__)
        1    0.000    0.000    0.000    0.000 argparse.py:1793(__init__)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
        6    0.000    0.000    0.000    0.000 process.py:80(__init__)
        1    0.000    0.000    0.000    0.000 base64mime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:639(_get_cached)
        1    0.000    0.000    0.000    0.000 string.py:1(<module>)
        1    0.000    0.000    0.000    0.000 signal.py:1(<module>)
     6217    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 __init__.py:358(namedtuple)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 string.py:69(__init_subclass__)
       35    0.000    0.000    0.000    0.000 popen_fork.py:25(poll)
       33    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.000    0.000 resource_tracker.py:1(<module>)
        1    0.000    0.000    0.000    0.000 message.py:141(Message)
       29    0.000    0.000    0.000    0.000 reduction.py:38(__init__)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
       33    0.000    0.000    0.000    0.000 _compiler.py:514(_compile_info)
       34    0.000    0.000    0.000    0.000 enum.py:252(__set_name__)
        6    0.000    0.000    0.000    0.000 spawn.py:160(get_preparation_data)
       35    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
        1    0.000    0.000    0.000    0.000 popen_spawn_posix.py:1(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:742(children)
      108    0.000    0.000    0.000    0.000 __init__.py:164(match)
       12    0.000    0.000    0.000    0.000 context.py:375(set_spawning_popen)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
     1501    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 process.py:142(join)
        1    0.000    0.000    0.000    0.000 scanner.py:1(<module>)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        2    0.000    0.000    0.000    0.000 popen_fork.py:37(wait)
        1    0.000    0.000    0.000    0.000 __init__.py:907(read_text)
3448/3307    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 ipaddress.py:2392(_IPv6Constants)
       35    0.000    0.000    0.000    0.000 ipaddress.py:2316(__init__)
      269    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1497(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 charset.py:1(<module>)
     3200    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 subprocess.py:1(<module>)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1616(_get_spec)
     2775    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _local.py:539(read_text)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        8    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 _abc.py:628(read_text)
        6    0.000    0.000    0.000    0.000 spawn.py:83(get_command_line)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.000    0.000 __init__.py:126(EntryPoint)
       70    0.000    0.000    0.000    0.000 enum.py:696(__call__)
       56    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
        5    0.000    0.000    0.000    0.000 argparse.py:1468(add_argument)
       25    0.000    0.000    0.000    0.000 enum.py:1598(__or__)
      973    0.000    0.000    0.000    0.000 _parser.py:260(get)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        1    0.000    0.000    0.000    0.000 parser.py:56(parsestr)
       17    0.000    0.000    0.000    0.000 reduction.py:48(dumps)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1579(_IPv4Constants)
        1    0.000    0.000    0.000    0.000 parser.py:41(parse)
       12    0.000    0.000    0.000    0.000 connection.py:207(send)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1484(_path_hooks)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1230(path_stats)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       70    0.000    0.000    0.000    0.000 enum.py:1158(__new__)
     1551    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        6    0.000    0.000    0.000    0.000 synchronize.py:121(_make_name)
        1    0.000    0.000    0.000    0.000 connection.py:1(<module>)
     2610    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
     11/9    0.000    0.000    0.000    0.000 typing.py:426(inner)
       13    0.000    0.000    0.000    0.000 util.py:257(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:173(feed)
      124    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:830(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _main.py:459(_compile)
        6    0.000    0.000    0.000    0.000 resource_tracker.py:210(getfd)
        3    0.000    0.000    0.000    0.000 gettext.py:627(gettext)
        1    0.000    0.000    0.000    0.000 argparse.py:1925(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1935(parse_known_args)
       94    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      673    0.000    0.000    0.000    0.000 _parser.py:167(__getitem__)
        3    0.000    0.000    0.000    0.000 gettext.py:587(dgettext)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1938(_parse_known_args2)
        2    0.000    0.000    0.000    0.000 feedparser.py:178(_call_parse)
        3    0.000    0.000    0.000    0.000 gettext.py:528(translation)
        6    0.000    0.000    0.000    0.000 resource_tracker.py:214(ensure_running)
       20    0.000    0.000    0.000    0.000 enum.py:1461(_missing_)
       24    0.000    0.000    0.000    0.000 connection.py:1210(reduce_connection)
        2    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
        1    0.000    0.000    0.000    0.000 _regex_core.py:73(RegexFlag)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
      526    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        3    0.000    0.000    0.000    0.000 gettext.py:488(find)
       49    0.000    0.000    0.000    0.000 __init__.py:183(sub)
      205    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       41    0.000    0.000    0.000    0.000 enum.py:355(__setitem__)
        1    0.000    0.000    0.000    0.000 argparse.py:1976(_parse_known_args)
        5    0.000    0.000    0.000    0.000 queues.py:389(put)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1939(__init__)
   170/66    0.000    0.000    0.000    0.000 _parser.py:177(getwidth)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.000    0.000 argparse.py:1383(__init__)
        5    0.000    0.000    0.000    0.000 argparse.py:2641(_get_formatter)
        1    0.000    0.000    0.000    0.000 pool.py:527(_handle_tasks)
        1    0.000    0.000    0.000    0.000 glob.py:554(_StringGlobber)
        1    0.000    0.000    0.000    0.000 pool.py:333(_maintain_pool)
        5    0.000    0.000    0.000    0.000 argparse.py:162(__init__)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:694(_classify_pyc)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
       48    0.000    0.000    0.000    0.000 __init__.py:851(normalize)
       43    0.000    0.000    0.000    0.000 enum.py:1609(__and__)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:727(_validate_timestamp_pyc)
      795    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       47    0.000    0.000    0.000    0.000 __init__.py:739(joinpath)
        6    0.000    0.000    0.000    0.000 process.py:61(_cleanup)
      569    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
        7    0.000    0.000    0.000    0.000 subprocess.py:306(_args_from_interpreter_flags)
        4    0.000    0.000    0.000    0.000 threading.py:870(__init__)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1713(path_hook_for_FileFinder)
     1248    0.000    0.000    0.000    0.000 _parser.py:239(__next)
       19    0.000    0.000    0.000    0.000 _regex_core.py:1731(lookup_property)
      238    0.000    0.000    0.000    0.000 enum.py:831(__setattr__)
      569    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        6    0.000    0.000    0.000    0.000 tempfile.py:154(__next__)
       93    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       34    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
      6/4    0.000    0.000    0.000    0.000 typing.py:574(__getitem__)
        4    0.000    0.000    0.000    0.000 threading.py:641(wait)
      280    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      773    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        6    0.000    0.000    0.000    0.000 process.py:128(terminate)
        3    0.000    0.000    0.000    0.000 threading.py:956(start)
     1449    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        6    0.000    0.000    0.000    0.000 util.py:504(_flush_std_streams)
       25    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
